scheduler,hybrid,P,rep,bw_mbps,path_lo_bytes,path_hi_bytes,tcp_flows_total,status
minrtt,off,1,1,92.4,81303309,152345559,0,OK
minrtt,off,1,2,102.3,89084294,171583981,0,OK
minrtt,off,1,3,149.9,180140331,186955749,0,OK
minrtt,off,2,1,157.5,195555398,206577847,0,OK
minrtt,off,2,2,173.1,213761473,219381205,0,OK
minrtt,off,2,3,162.5,194915448,205932652,0,OK
minrtt,off,4,1,162.9,199779525,203314212,0,OK
minrtt,off,4,2,121.1,139042836,167846426,0,OK
minrtt,off,4,3,171.6,218595016,226771157,0,OK
minrtt,off,8,1,168.7,212878127,221933814,0,OK
minrtt,off,8,2,164.3,214342670,215380889,0,OK
minrtt,off,8,3,160.9,197924916,227575017,0,OK
minrtt,off,16,1,173.5,218097197,227343342,0,OK
minrtt,off,16,2,166.6,204249409,205012362,0,OK
minrtt,off,16,3,168.5,213014843,220237730,0,OK
minrtt,on,1,1,188.2,222952334,223018080,2,OK
minrtt,on,1,2,187.5,222816198,223668650,2,OK
minrtt,on,1,3,185.7,224903525,224905727,2,OK
minrtt,on,2,1,186.5,229303744,229311319,3,OK
minrtt,on,2,2,186.5,229367545,229443952,3,OK
minrtt,on,2,3,186.0,228787935,228796029,3,OK
minrtt,on,4,1,188.5,229514241,229846061,5,OK
minrtt,on,4,2,186.7,231188367,231603654,5,OK
minrtt,on,4,3,188.5,228524129,229417975,5,OK
minrtt,on,8,1,188.4,232481034,232515710,9,OK
minrtt,on,8,2,186.8,230780508,231222108,9,OK
minrtt,on,8,3,187.8,229660174,230421471,9,OK
minrtt,on,16,1,186.8,238504137,239147396,17,OK
minrtt,on,16,2,187.3,236986314,237985304,17,OK
minrtt,on,16,3,188.1,238162394,238340210,17,OK
wlb,off,1,1,95.9,16887094,221726906,0,OK
wlb,off,1,2,96.5,18740641,221744749,0,OK
wlb,off,1,3,96.1,17908056,221649203,0,OK
wlb,off,2,1,179.7,222708447,223398932,0,OK
wlb,off,2,2,172.9,214736601,219217866,0,OK
wlb,off,2,3,179.7,221899940,222687236,0,OK
wlb,off,4,1,179.1,224988221,225055530,0,OK
wlb,off,4,2,178.9,221091205,221631041,0,OK
wlb,off,4,3,144.2,178162916,192124925,0,OK
wlb,off,8,1,173.7,215341008,216879084,0,OK
wlb,off,8,2,179.2,223720303,224232125,0,OK
wlb,off,8,3,178.6,222977976,224047716,0,OK
wlb,off,16,1,178.7,222034930,222991835,0,OK
wlb,off,16,2,177.1,222579581,225536146,0,OK
wlb,off,16,3,178.3,221021789,224628894,0,OK
wlb,on,1,1,186.3,221613573,223215285,2,OK
wlb,on,1,2,187.8,223775741,225641310,2,OK
wlb,on,1,3,187.5,219679663,222579933,2,OK
wlb,on,2,1,186.7,229048187,229067225,3,OK
wlb,on,2,2,186.2,229414642,229446875,3,OK
wlb,on,2,3,185.6,227953956,228729468,3,OK
wlb,on,4,1,187.9,229913279,230741235,5,OK
wlb,on,4,2,188.4,230019264,230187186,5,OK
wlb,on,4,3,186.9,231850532,231886839,5,OK
wlb,on,8,1,187.1,234111692,234370377,9,OK
wlb,on,8,2,187.9,231733810,232493500,9,OK
wlb,on,8,3,188.6,231355221,231520897,9,OK
wlb,on,16,1,188.3,237025654,238307378,17,OK
wlb,on,16,2,187.8,238046503,239901693,17,OK
wlb,on,16,3,187.8,237029955,238181896,17,OK
