env_name	max_wait_ms	cap_pkts	goodput_mbps	added_p99_ms	recommended
baseline	30	2048	57.995	0.000	0
baseline	10	1024	57.852	0.000	1
bw_10to1	200	1024	21.046	0.000	1
bw_4to1	300	1024	26.088	0.000	0
bw_4to1	50	1024	25.379	0.000	1
congested	30	1024	5.703	32.000	1
congested	20	1024	1.013	0.000	0
dual_lte	50	4096	21.750	32.000	0
dual_lte	10	1024	0.969	0.000	0
dual_lte	30	1024	20.740	32.000	1
fiber_lte	50	2048	77.345	64.000	1
fiber_lte	20	1024	60.758	32.000	0
fiber_lte	10	1024	5.486	1.000	0
jit_20	50	1024	37.603	32.000	1
jit_20	10	1024	2.468	16.000	0
jit_5	120	1024	61.434	4.000	0
jit_5	10	1024	55.654	4.000	1
loss_05	10	1024	52.672	0.000	1
loss_2	10	1024	24.451	0.000	1
lte_geo	10	1024	27.264	16.000	1
lte_starlink	50	1024	17.053	64.000	1
lte_starlink	20	1024	3.596	32.000	0
rtt_120	50	1024	28.153	64.000	1
rtt_120	10	1024	6.367	16.000	0
rtt_120	20	1024	1.857	0.000	0
rtt_320	10	1024	35.722	16.000	1
rtt_40	200	1024	49.010	32.000	0
rtt_40	10	1024	0.977	0.000	0
rtt_40	50	1024	45.727	32.000	1
rtt_70	300	1024	36.473	64.000	0
rtt_70	20	1024	28.772	32.000	0
rtt_70	10	1024	1.456	0.000	0
rtt_70	50	1024	34.202	64.000	1
