env_name	max_wait_ms	cap_pkts	goodput_mbps	added_p99_ms	recommended
baseline	200	1024	45.295	0.000	0
baseline	20	1024	42.499	0.000	1
bw_10to1	300	1024	74.207	0.000	0
bw_10to1	10	1024	69.641	0.000	1
bw_4to1	300	1024	41.960	0.000	0
bw_4to1	10	1024	39.280	0.000	1
congested	30	1024	6.444	0.000	1
dual_lte	20	1024	29.622	0.000	1
fiber_lte	30	1024	198.813	0.000	0
fiber_lte	10	1024	189.438	0.000	1
jit_20	120	1024	36.846	0.000	0
jit_20	80	1024	35.556	0.000	1
jit_5	200	1024	51.085	0.000	0
jit_5	120	1024	46.537	0.000	1
loss_05	10	1024	39.552	0.000	1
loss_2	10	1024	16.450	0.000	1
lte_geo	200	4096	30.130	0.000	0
lte_geo	10	1024	29.455	0.000	1
lte_starlink	80	4096	29.094	0.000	0
lte_starlink	10	1024	26.586	0.000	1
rtt_120	200	1024	40.419	0.000	0
rtt_120	10	1024	37.242	0.000	1
rtt_320	10	1024	38.877	0.000	1
rtt_40	120	1024	42.006	0.000	0
rtt_40	20	1024	40.587	0.000	1
rtt_70	120	1024	40.879	0.000	0
rtt_70	10	1024	40.225	0.000	1
