timestamp,env_name,leg,repeat,goodput_mbps,picoquic_pin
2026-06-19T17:07:25Z,baseline,A,1,40.267493,e652e454
2026-06-19T17:07:37Z,baseline,A,2,40.602529,e652e454
2026-06-19T17:07:49Z,baseline,A,3,40.600319,e652e454
2026-06-19T17:08:01Z,baseline,B,1,40.634765,e652e454
2026-06-19T17:08:14Z,baseline,B,2,40.258835,e652e454
2026-06-19T17:08:26Z,baseline,B,3,40.338644,e652e454
2026-06-19T17:08:36Z,bw_10to1,A,1,74.081527,e652e454
2026-06-19T17:08:47Z,bw_10to1,A,2,74.184941,e652e454
2026-06-19T17:08:57Z,bw_10to1,A,3,74.172379,e652e454
2026-06-19T17:09:25Z,bw_10to1,B,1,8.603819,e652e454
2026-06-19T17:09:52Z,bw_10to1,B,2,8.676232,e652e454
2026-06-19T17:10:20Z,bw_10to1,B,3,8.620821,e652e454
2026-06-19T17:10:32Z,bw_4to1,A,1,40.658242,e652e454
2026-06-19T17:10:44Z,bw_4to1,A,2,40.607797,e652e454
2026-06-19T17:10:56Z,bw_4to1,A,3,40.621139,e652e454
2026-06-19T17:11:21Z,bw_4to1,B,1,10.305750,e652e454
2026-06-19T17:11:45Z,bw_4to1,B,2,10.292281,e652e454
2026-06-19T17:12:10Z,bw_4to1,B,3,10.324145,e652e454
2026-06-19T17:12:44Z,congested,A,1,6.413804,e652e454
2026-06-19T17:13:33Z,congested,A,2,4.078069,e652e454
2026-06-19T17:14:08Z,congested,A,3,6.945834,e652e454
2026-06-19T17:14:51Z,congested,B,1,4.832396,e652e454
2026-06-19T17:15:23Z,congested,B,2,6.910428,e652e454
2026-06-19T17:16:01Z,congested,B,3,5.711179,e652e454
2026-06-19T17:16:15Z,dual_lte,A,1,29.640906,e652e454
2026-06-19T17:16:28Z,dual_lte,A,2,29.220754,e652e454
2026-06-19T17:16:42Z,dual_lte,A,3,29.578516,e652e454
2026-06-19T17:16:59Z,dual_lte,B,1,19.666526,e652e454
2026-06-19T17:17:16Z,dual_lte,B,2,18.322461,e652e454
